,CreditScore,Age,Balance,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Gender_Male,Tenure_1,Tenure_2,Tenure_3,Tenure_4,Tenure_5,Tenure_6,Tenure_7,Tenure_8,Tenure_9,Tenure_10,NumOfProducts_2,NumOfProducts_3,NumOfProducts_4,HasCrCard_1,IsActiveMember_1
12,476,-0.4693113027136666,-1.225847671409028,-1.283817056739873,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
13,549,-1.3274936190253819,-1.225847671409028,1.5783569986897874,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
14,635,-0.37395771201236494,-1.225847671409028,-0.5936359656444845,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
15,616,0.5795781950006519,1.0681029591182614,-0.6218824846013182,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
16,653,1.819174874117574,0.8993931172292714,-1.651825870574206,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,549,-1.4228472097266835,-1.225847671409028,-1.4899561835690913,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
18,587,0.5795781950006519,-1.225847671409028,1.0189010247747559,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,726,-1.4228472097266835,-1.225847671409028,-0.7888730584424746,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
20,732,0.19816383219544517,-1.225847671409028,1.2310704831801604,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
21,636,-0.66001848411627,-1.225847671409028,0.6688717421740601,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
22,510,-0.0878969399084599,-1.225847671409028,0.3273182063274937,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
23,669,0.6749317857019536,-1.225847671409028,-1.5928757668520803,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
24,846,-0.0878969399084599,-1.225847671409028,1.5219882921316075,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
25,577,-1.3274936190253819,-1.225847671409028,0.4246054922618665,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
26,756,-0.27860412131106327,0.9669114802146297,1.2163903409521621,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
27,571,0.4842246042993502,-1.225847671409028,-1.0721517054667205,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
28,574,0.38887101359804854,1.0395750259469727,0.001690039053891155,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
29,411,-0.9460792562201751,-0.2690746311079832,-0.8104496783748915,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
30,591,0.007456650792841798,-1.225847671409028,0.7021528985231289,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
31,533,-0.27860412131106327,0.14145222877469343,0.9849420451757676,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
32,553,0.19816383219544517,0.5389379904752861,-0.3163307881639144,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
33,520,0.29351742289674687,-1.225847671409028,-1.1421041777545031,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
34,722,-0.9460792562201751,-1.225847671409028,0.7293439051333712,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
35,475,0.5795781950006519,0.9260167093296421,-1.2566552636509198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,490,-0.7553720748175716,1.1022538431506916,0.24303789296726364,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
37,804,-0.5646648934149683,0.0010050714058922226,-0.028462140497060716,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
38,850,-0.27860412131106327,-1.225847671409028,-1.030773708690248,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
39,582,0.19816383219544517,-0.0983488994706338,1.3560603601273575,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
40,472,0.10281024149414347,-1.225847671409028,-0.5205574726887156,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
41,465,1.151699739208462,0.7378308850642107,1.4121157168917053,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,556,2.1052356462214785,0.6560450295292661,-0.10322823597732222,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
43,834,0.9609925578058587,0.8800272410904768,1.6393570917124016,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,660,2.1052356462214785,1.2732771981989728,1.0128771271288544,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
45,776,-0.66001848411627,0.5278566871606644,0.4595429509340464,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
46,829,-1.1367864376227785,0.5699204753635507,0.3411368974574668,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
47,637,0.007456650792841798,0.9833899124270092,0.30487370136676745,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
48,550,-0.0878969399084599,0.4312172277063011,-0.16018938579165293,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
49,776,-0.18325053060976157,0.43727291050579303,1.6347204885477364,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
50,698,0.4842246042993502,0.6391207231492969,1.7035816271473465,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
51,585,-0.27860412131106327,1.1149271191851777,-0.2376323440500743,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
52,788,-0.5646648934149683,-1.225847671409028,0.29366457758198383,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
53,655,0.19816383219544517,0.7865476864126006,1.1120387734559636,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,601,0.29351742289674687,0.3527539521024456,-1.0446525657628767,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,619,0.38887101359804854,0.7809373969674329,0.23162583954352248,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
56,656,0.5795781950006519,0.8234489825909677,-0.22575565652582363,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
57,725,-1.899615163233192,-0.009579231263980042,-0.947291724355257,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,511,2.582003599727987,-1.225847671409028,-1.7118972170658242,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
59,614,1.151699739208462,-0.5737700038102944,-0.9270938782937008,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
60,742,-0.37395771201236494,0.9675743614357468,-0.2709322805199718,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,687,-1.1367864376227785,1.2155438659662452,0.4591492639566686,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
62,555,-0.5646648934149683,-0.3269722412061958,1.3686515616931476,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,684,1.6284676927149704,0.03560054743720529,-0.012031099781775587,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
64,603,-1.2321400283240802,0.5237736209156966,-0.12606277622526518,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
65,751,-0.27860412131106327,1.4960596203933352,-1.2577791147705282,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
66,581,-0.4693113027136666,0.4030361211700457,0.17982435403694505,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67,735,0.38887101359804854,0.7483717542691593,1.6794825587635858,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
68,661,-0.37395771201236494,1.189846801027209,0.23590979377262117,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
69,675,-1.7089079818305886,0.35079127235539437,-1.4239372771449408,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70,738,1.819174874117574,0.9177050506915504,-1.2470761847980885,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
71,813,-0.9460792562201751,-1.225847671409028,-1.150045386625037,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
72,657,-0.18325053060976157,1.3963024074587023,-0.971813693237685,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,604,-1.3274936190253819,1.3029230222109998,-0.7244854141803299,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
74,519,-0.27860412131106327,-1.225847671409028,0.7907154272123808,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
75,735,-1.7089079818305886,1.6384882092265163,-1.3511643089326582,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
76,664,1.5331141020136687,-1.225847671409028,0.6794126066593463,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
77,678,-0.66001848411627,-1.225847671409028,0.836765674605092,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
78,757,-0.5646648934149683,0.01229809282812912,1.637163817045588,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
79,416,0.19816383219544517,0.7324993070415582,-0.031102486373608563,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
80,665,-0.4693113027136666,0.32310091589144607,1.240243007195046,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,777,-0.66001848411627,-1.225847671409028,0.6324023125342576,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
82,543,-0.27860412131106327,-1.225847671409028,-1.2880145876351567,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
83,506,-0.4693113027136666,0.22152238230962304,1.0284733219172884,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
84,493,0.6749317857019536,-1.225847671409028,-1.7072969569127634,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
85,652,3.4401859160397024,-1.225847671409028,0.2536274466546987,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
86,750,-1.613554391129287,0.7243601000944537,0.49651005377581686,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
87,729,-0.8507256655188734,-1.225847671409028,0.9003869856034099,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
88,646,0.6749317857019536,-1.225847671409028,-0.1189202441599856,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
89,635,-1.0414328469214766,0.08234377060454129,0.9859758212713994,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
90,647,0.4842246042993502,-1.225847671409028,1.2887854461777652,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
91,808,0.5795781950006519,0.6753929553061735,0.8180172017575125,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
92,524,-0.27860412131106327,-1.225847671409028,0.1656185837498862,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
93,769,-0.9460792562201751,-1.225847671409028,1.2554922914181668,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
94,730,0.29351742289674687,-1.225847671409028,-0.24532002128941732,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
95,515,-0.37395771201236494,1.5993141087452805,0.36843015139222235,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
96,773,0.19816383219544517,0.4221788999539575,-0.6172224062856171,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
97,814,-0.9460792562201751,0.3301666270892653,1.6899655178763158,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
98,710,-1.613554391129287,-1.225847671409028,-0.007741581072431412,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
99,413,-0.4693113027136666,-1.225847671409028,-1.626846397081583,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
100,665,0.10281024149414347,-1.225847671409028,1.0739062597827504,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
101,623,0.4842246042993502,-1.225847671409028,1.1663183654619271,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
102,738,-0.7553720748175716,0.09917992788595745,-1.0106403758215394,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
103,528,-0.27860412131106327,-1.225847671409028,-0.6877989698109479,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
104,670,2.486650009026685,-1.225847671409028,1.3487854977662366,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
105,622,0.6749317857019536,0.4902272794282506,-1.2016781988241692,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
106,582,-0.66001848411627,0.19958127032437936,-1.5656310282294663,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
107,785,-0.27860412131106327,0.3737675752998252,-1.0974845234549402,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
108,605,-0.5646648934149683,1.1797059684586015,-0.4908471476472676,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,479,-0.37395771201236494,0.26201118652800265,-0.011135566242245706,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
110,685,-0.8507256655188734,0.22519563538186413,-0.6435210093764677,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
111,538,0.007456650792841798,0.5059631756886392,-1.2669448570751147,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
112,562,0.29351742289674687,0.3806832727590163,-0.23114902900389336,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,675,-0.27860412131106327,0.47607982992378434,-1.3406210099872649,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
114,721,-1.0414328469214766,1.2499486194025076,0.021052865298588772,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
115,628,-0.8507256655188734,0.8953608569192879,-0.4507421996169888,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
116,668,-0.18325053060976157,1.4645333357025438,0.2703650554535159,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
117,506,0.19816383219544517,-1.225847671409028,-1.1880850430341514,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
118,524,-0.7553720748175716,0.5021732452641319,1.7325557018962958,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
119,699,-0.4693113027136666,1.7419531335173701,0.36072160735195824,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
120,828,-0.4693113027136666,0.8485945547152397,-1.0773958803182044,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
121,674,0.007456650792841798,0.7005053513151718,0.0007079082905388424,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
122,656,0.007456650792841798,-1.225847671409028,0.712594993484055,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
123,684,0.865638967104557,0.799729182068016,1.7048023350012298,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
124,625,-1.0414328469214766,-1.225847671409028,1.4529583063345444,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,432,0.29351742289674687,1.2199444292370913,0.1769330848793213,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
126,549,1.2470533299097637,-1.225847671409028,-1.5902969780382497,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,625,1.6284676927149704,1.1542940257856118,-0.9262452950562433,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,828,0.19816383219544517,-1.225847671409028,1.2396363049582653,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
129,770,-1.4228472097266835,0.4061458610959019,1.1679515404140175,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
130,758,-0.4693113027136666,-1.225847671409028,0.41969953347531197,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
131,795,-0.5646648934149683,0.8714987356699452,0.25813919679385267,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
132,687,-0.0878969399084599,0.7386090011977997,-1.1212664164647004,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
133,686,-1.3274936190253819,-1.225847671409028,-1.4542572605533,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
134,789,0.007456650792841798,0.774791641816329,0.4229151074972511,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
135,589,1.0563461485071604,1.0964010635489592,-1.1328761828271687,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
136,461,-0.4693113027136666,-0.2054989368942612,1.177131715589241,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
137,637,0.10281024149414347,0.9131799567851124,-0.1204170893460581,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
138,584,0.865638967104557,2.1902696722207384,-0.43349022417546684,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
139,579,-0.37395771201236494,0.8495084204606003,-1.5910833086529592,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
140,756,0.4842246042993502,0.9771119336280759,1.5555097644712839,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
141,663,-0.4693113027136666,-1.225847671409028,1.3969801567336042,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
142,682,0.38887101359804854,0.7911949068883063,1.6211433306384249,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
143,793,1.2470533299097637,-1.225847671409028,1.0265349700017272,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
144,691,-0.7553720748175716,-0.5700896988101691,0.45426330252099645,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
145,485,-1.7089079818305886,0.58773540818108,-0.7990026730596075,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
146,635,-0.9460792562201751,0.9906524365212339,0.7126928935583765,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
147,650,-0.18325053060976157,0.4885269634527103,-1.314525162645364,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
148,735,0.4842246042993502,0.708329946115987,-0.43914008441485824,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
149,416,-0.66001848411627,-1.225847671409028,-1.7251865870124325,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
150,754,-0.66001848411627,-1.225847671409028,-0.1837928676535379,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
151,535,0.865638967104557,-1.225847671409028,0.8660165822462607,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
152,716,0.29351742289674687,-1.225847671409028,1.4034693840400465,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
153,539,-0.18325053060976157,0.8193651149905588,-0.025110062819096075,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
154,614,0.38887101359804854,-1.225847671409028,0.15565399075003744,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
155,706,1.723821283416272,-1.225847671409028,-1.4284904131059215,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
156,758,-0.5646648934149683,-1.225847671409028,-0.29724357758138287,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
157,586,-1.0414328469214766,-1.225847671409028,-0.1395100382988427,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
158,646,3.249478734637099,0.3329369128501488,0.0805009900026975,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
159,631,-0.5646648934149683,0.7494406021568846,0.21905498310863042,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
160,717,-1.613554391129287,0.3938559535045763,-0.26762854426414123,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
161,684,-0.8507256655188734,-1.225847671409028,-0.288942938064983,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
162,800,0.9609925578058587,0.5051980415132005,-0.9210106841551816,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
163,721,-0.27860412131106327,-1.225847671409028,0.11976778819597919,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
164,683,-0.9460792562201751,0.9170230972109282,-0.7739444273935077,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
165,660,-0.7553720748175716,0.7805820759647208,0.6918073125164625,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
166,704,-1.4228472097266835,0.585764073795262,1.0853038803358548,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
167,615,0.19816383219544517,0.5213192294698089,1.6764686971505505,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
168,667,0.007456650792841798,-1.225847671409028,-1.0323675845006035,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
169,682,-1.4228472097266835,-0.29740030216586505,-0.8165168746327044,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
170,484,-0.9460792562201751,0.8595098171824057,1.1116379569882713,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
171,628,-1.1367864376227785,0.3099739124060453,0.9721619990616414,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
172,480,0.4842246042993502,0.8514029849951333,-1.645304473616344,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
173,578,-0.8507256655188734,1.4901396872056147,0.21035248378449198,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
174,512,0.10281024149414347,-1.225847671409028,0.8062860601696863,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
175,484,-0.37395771201236494,0.9196726988423379,-1.265991244273021,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
176,510,-0.8507256655188734,-1.225847671409028,0.5297251319219686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
177,606,-0.27860412131106327,1.8269876840117076,1.3782808947581977,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
178,597,0.10281024149414347,0.40880716251675614,-0.09244201269120601,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
179,754,1.5331141020136687,1.364274313990513,-1.5999513512644048,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
180,850,0.5795781950006519,0.734447402119576,-1.4016880506628344,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
181,510,2.486650009026685,-1.225847671409028,-0.9045519949286761,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
182,778,0.5795781950006519,1.372954756402732,1.2944551298780314,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
183,636,0.29351742289674687,-1.225847671409028,-0.7758878221192913,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
184,804,1.0563461485071604,-1.225847671409028,-1.5918477291267017,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
185,514,-0.66001848411627,-1.225847671409028,-0.07360868151988112,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
186,730,0.007456650792841798,0.3610071117933157,1.649443407717623,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
187,525,-0.18325053060976157,-1.225847671409028,0.5465620319151687,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
188,616,-0.8507256655188734,-1.225847671409028,1.6696617728000853,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
189,687,-0.4693113027136666,0.5593828115803674,0.8429234675569041,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
190,715,0.19816383219544517,-0.3248861527211708,-0.12359458145631619,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
191,512,-0.27860412131106327,0.1256826755857667,-1.4331124095099417,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
192,479,0.10281024149414347,-1.225847671409028,0.2592037514208431,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
193,601,-0.66001848411627,0.26488003900817697,-0.2283666149910745,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
194,580,-0.9460792562201751,-0.2368077337182595,0.4866757043917173,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
